symbol,organ_name,exchange,industry_name,sector_group,sleeve,status,hard_gate,qualitative_overlay,composite_score,quality_score,valuation_score,catalyst_score,technical_score,market_cap_bil,avg_value_20d_bil,close_price,current_price_k,target_price_k,stop_price_k,buy_zone_low_k,buy_zone_high_k,upside_pct,downside_pct,risk_reward,rr_min,atr20_k,support20_k,history_last_date,history_last_time,action_note,market_price_time,pe_ratio,pb_ratio,roe_use,roa_use,earnings_growth_use,price_vs_sma20,price_vs_sma50,return_20d,volatility_20d,latest_ratio_period,base_eligible,weekly_ok,weekly_reason,eligible,reject_reason
VIX,CTCP Chứng khoán VIX,HOSE,Chứng khoán,securities,FTSE/Securities Beta,BUY,PASS,,86.80224950550571,93.87955182072832,72.85714285714286,96.42857142857144,84.55353583714884,44227.6942846,749.249643,18050.0,18.05,23.465000000000003,15.884,17.689,18.411,0.3,0.12,2.5000000000000004,2.5,0.8224999999999998,16.3,2026-05-29,2026-05-29T00:00:00,Buy in tranches if price remains in buy zone,1780022289944.0,6.22,1.61,28.56,19.55,1046.8,0.0036141228801778,0.0420876392817968,0.0586510263929618,0.4468808257332934,2026-Q1,True,False,no_history,False,no_history
VHM,CTCP Vinhomes,HOSE,Bất động sản,non_financial,Quality/Value Non-financial,WATCH,PASS,REAL_ESTATE_NEEDS_BACKLOG_CORE_REVIEW,77.206408170714,75.01741237035355,67.5,81.42857142857143,86.16188069557457,655542.9558384,935.1473585,159600.0,159.6,204.4,137.2,156.408,162.792,0.2807017543859649,0.1403508771929824,2.0,2.0,8.195000000000004,140.0,2026-05-29,2026-05-29T00:00:00,Watch; validate catalyst and core earnings,1780022289674.0,12.38,2.05,18.89,5.93,131.66,0.0248177994670433,0.195201222160648,0.1303116147308782,0.552197335518365,2026-Q1,False,False,no_history,False,score_status_gate
MSB,Ngân hàng TMCP Hàng hải Việt Nam,HOSE,Ngân hàng,bank,Core Bank,WATCH,PASS,,69.36889897050791,53.01120448179272,86.42857142857143,39.285714285714285,96.0050076467375,46800.0,245.470686,15000.0,15.0,20.5,12.25,14.7,15.3,0.3666666666666667,0.1833333333333333,2.0,2.0,0.3949999999999999,12.5,2026-05-29,2026-05-29T00:00:00,Watch; validate catalyst and core earnings,1780022286969.0,6.02,0.91,14.04,1.59,14.49,0.0770059235325795,0.1770244821092277,0.1999999999999999,0.213066258840667,2026-Q1,False,False,no_history,False,score_status_gate
SHS,CTCP Chứng khoán Sài Gòn - Hà Nội,HNX,Chứng khoán,securities,FTSE/Securities Beta,WATCH,PASS,,66.78721236744282,63.15126050420169,71.42857142857144,42.85714285714286,85.6530511504435,16370.212404,178.3876985,18200.0,18.2,23.660000000000004,16.016,17.836,18.564,0.3000000000000002,0.1200000000000001,2.5,2.5,0.5949999999999998,16.6,2026-05-29,2026-05-29T00:00:00,Watch; validate catalyst and core earnings,1780022284546.0,13.26,1.47,11.33,7.09,-4.73,0.0477835348301669,0.0614720634550332,0.0459770114942528,0.3544426359610212,2026-Q1,False,False,no_history,False,score_status_gate
BSR,CTCP - Tổng Công ty Lọc hóa dầu Việt Nam,HOSE,SX Phụ trợ,oil_gas,Cyclical/Tactical,WATCH,PASS,,65.09687978551659,59.70588235294117,50.0,72.5,80.74046031853699,141205.8511452,507.12790925,28200.0,28.2,41.9825,22.687,27.636,28.764,0.4887411347517731,0.1954964539007092,2.5000000000000004,2.5,1.7324999999999997,23.15,2026-05-29,2026-05-29T00:00:00,Watch; validate catalyst and core earnings,1780022285172.0,10.46,1.33,9.01,6.29,0.0,0.0049893086243761,0.0115866126197221,0.0867052023121386,0.7250559891770637,2026-Q1,False,False,no_history,False,score_status_gate
VPB,Ngân hàng TMCP Việt Nam Thịnh Vượng,HOSE,Ngân hàng,bank,Core Bank,WATCH,PASS,,64.90007944898183,66.28851540616246,55.35714285714286,92.85714285714286,50.41124216567522,215009.3295871,395.7820073,27100.0,27.1,31.978,24.661,26.558,27.642000000000003,0.1799999999999999,0.0899999999999999,2.0,2.0,0.5924999999999999,25.65,2026-05-29,2026-05-29T00:00:00,Watch; validate catalyst and core earnings,1780022289642.0,9.48,1.26,15.62,2.11,72.33,-0.0011978254860408,0.0260021504399317,0.0011082379017361,0.2476890522352844,2026-Q1,False,False,no_history,False,score_status_gate
VRE,CTCP Vincom Retail,HOSE,Bất động sản,non_financial,Quality/Value Non-financial,WATCH,PASS,REAL_ESTATE_NEEDS_BACKLOG_CORE_REVIEW,64.74754806386483,81.88242864713455,72.32142857142858,50.892857142857146,47.695563593183536,74172.8663585,325.92554975,31850.0,31.85,40.177,27.6865,31.213,32.487,0.2614442700156985,0.1307221350078492,2.0,2.0,1.8925,28.7,2026-05-29,2026-05-29T00:00:00,Watch; validate catalyst and core earnings,1780022285761.0,11.86,1.58,14.21,10.89,144.98,-0.0402290191351512,0.0848092643051772,0.0870307167235495,0.6216518529596766,2026-Q1,False,False,no_history,False,score_status_gate
POW,Tổng Công ty Điện lực Dầu khí Việt Nam - CTCP,HOSE,Tiện ích,non_financial,Quality/Value Non-financial,WATCH,PASS,LOW_ROE_NEEDS_TURNAROUND_MEMO,60.69765869129601,30.273677038382925,65.89285714285714,68.03571428571428,86.14079374769601,42489.6627788,205.08767075,13850.0,13.85,16.951999999999998,12.299,13.573,14.127,0.2239711191335738,0.1119855595667869,2.0,2.0,0.4449999999999999,12.55,2026-05-29,2026-05-29T00:00:00,Watch; validate catalyst and core earnings,1780022287565.0,12.86,0.8,6.94,2.71,160.12,0.0139092240117129,0.0418233789679554,0.0572519083969464,0.3584960891814033,2026-Q1,False,False,no_history,False,score_status_gate
LPB,Ngân hàng TMCP Lộc Phát Việt Nam,HOSE,Ngân hàng,bank,Core Bank,WATCH,PASS,,60.254585561245904,73.77450980392157,9.642857142857144,60.71428571428572,94.274644765992,157429.76667,67.84237875,52700.0,52.7,74.48640000000002,41.8068,51.646,53.754000000000005,0.4134041745730552,0.2067020872865276,2.0,2.0,1.7614999999999998,42.66,2026-05-29,2026-05-29T00:00:00,Watch; validate catalyst and core earnings,1780022285469.0,10.9,2.65,25.78,2.12,39.73,0.0831920250757927,0.1833017486819772,0.1853351327035537,0.2662459663565691,2026-Q1,False,False,no_history,False,score_status_gate
TCB,Ngân hàng TMCP Kỹ thương Việt Nam,HOSE,Ngân hàng,bank,Core Bank,AVOID,PASS,,59.18450154476538,60.07002801120448,40.35714285714286,91.78571428571428,50.86825827990184,233491.6216413,432.804405,32950.0,32.95,38.881,29.984500000000004,32.291000000000004,33.609,0.1799999999999999,0.0899999999999999,2.0,2.0,0.7075000000000001,31.05,2026-05-29,2026-05-29T00:00:00,Memo required before trade,1780022288749.0,9.76,1.38,15.73,2.33,98.03,-0.0176641574122382,0.0348943120072866,0.0076452599388379,0.2407469182421364,2026-Q1,False,False,no_history,False,score_status_gate
