symbol,organ_name,exchange,industry_name,sector_group,sleeve,status,hard_gate,qualitative_overlay,composite_score,quality_score,valuation_score,catalyst_score,technical_score,market_cap_bil,avg_value_20d_bil,close_price,current_price_k,target_price_k,stop_price_k,buy_zone_low_k,buy_zone_high_k,upside_pct,downside_pct,risk_reward,rr_min,atr20_k,support20_k,history_last_date,history_last_time,action_note,market_price_time,pe_ratio,pb_ratio,roe_use,roa_use,earnings_growth_use,price_vs_sma20,price_vs_sma50,return_20d,volatility_20d,latest_ratio_period
PVS,Tổng Công ty cổ phần Dịch vụ Kỹ thuật Dầu khí Việt Nam,HNX,Khai khoáng,oil_gas,Cyclical/Tactical,ACCUMULATE,PASS,,70.64184313350304,66.70506912442397,62.142857142857146,71.42857142857142,83.23557529898915,20661.3719996,196.776601,40400,40.4,55.40499999999999,34.398,39.592,41.208,0.37141089108910874,0.14856435643564347,2.5000000000000004,2.5,2.0049999999999994,35.1,2026-05-21,2026-05-21T00:00:00,Accumulate on pullback / confirmation,1779350701919,9.01,1.08,12.73,4.9,46.4,0.02356219913858637,0.008386581469648435,0.05483028720626626,0.5069834166039557,2026-Q1
EVF,Công ty Tài chính Tổng hợp Cổ phần Điện lực,HOSE,Ngân hàng,bank,Core Bank,AVOID,FAIL_BANK_QUALITY,,64.90813219866804,40.12521222410866,66.31578947368422,77.10526315789474,83.48227412574175,10419.7514874,79.81634275,13700,13.7,16.404,12.347999999999999,13.425999999999998,13.974,0.19737226277372266,0.09868613138686133,2.0,2.0,0.45749999999999974,12.6,2026-05-21,2026-05-21T00:00:00,Memo required before trade,1779352388323,9.4,0.85,10.82,1.25,20.7,0.023151605675877374,0.0008766803039159665,-0.010830324909747335,0.3187311802011129,2026-Q1
VPB,Ngân hàng TMCP Việt Nam Thịnh Vượng,HOSE,Ngân hàng,bank,Core Bank,AVOID,PASS,,59.79847488172442,61.88242784380306,40.789473684210535,93.68421052631578,49.198144009070816,214215.937227,411.41647945,27000,27.0,31.86,24.57,26.46,27.54,0.17999999999999994,0.08999999999999997,2.0,2.0,0.6119999999999999,25.65,2026-05-21,2026-05-21T00:00:00,Memo required before trade,1779352350508,9.48,1.26,15.62,2.11,72.33,-0.004828425048837182,0.02379760658870622,-0.020319303338171224,0.2552475106144332,2026-Q1
VVS,CTCP Đầu tư phát triển máy Việt Nam,HOSE,Bán buôn,non_financial,Quality/Value Non-financial,AVOID,PASS,,59.52338636894378,67.49462365591398,75.59523809523809,95.95238095238096,4.742854231535527,2451.6975,17.7622235,113900,113.9,145.89600000000002,97.902,111.622,116.17800000000001,0.2809130816505707,0.14045654082528536,2.0,2.0,7.0200000000000005,99.9,2026-05-21,2026-05-21T00:00:00,Memo required before trade,1779350701212,4.32,2.14,66.19,7.64,2253.48,-0.021687781833798492,-0.062474277718330584,-0.14809274495138358,0.6854671211144158,2026-Q1
PVP,CTCP Vận tải Dầu khí Thái Bình Dương,HOSE,Vận tải - kho bãi,oil_gas,Cyclical/Tactical,AVOID,PASS,,59.395291275833955,45.25345622119816,68.92857142857143,31.428571428571427,89.20558906646947,1944.420975,27.2785245,18750,18.75,29.43,15.19,18.375,19.125,0.5695999999999999,0.18986666666666674,2.9999999999999982,3.0,0.9749999999999996,15.5,2026-05-21,2026-05-21T00:00:00,Memo required before trade,1779350701345,7.27,0.75,10.6,6.18,30.2,0.018053481742907662,0.1453879047037263,0.19808306709265167,0.5705900953686993,2026-Q1
LPB,Ngân hàng TMCP Lộc Phát Việt Nam,HOSE,Ngân hàng,bank,Core Bank,AVOID,PASS,,59.056824307805094,70.11247877758915,7.105263157894739,62.368421052631575,95.0923226981134,158923.40772,71.69716925,53200,53.2,75.98640000000002,41.806799999999996,52.136,54.264,0.4283157894736844,0.2141578947368422,2.0,2.0,1.8635000000000002,42.66,2026-05-21,2026-05-21T00:00:00,Memo required before trade,1779352395526,10.9,2.65,25.78,2.12,39.73,0.10280780671842127,0.20227075498987568,0.22383252818035437,0.2617427894339514,2026-Q1
CTR,Tổng Công ty cổ phần Công trình Viettel,HOSE,Công nghệ và thông tin,non_financial,Quality/Value Non-financial,AVOID,PASS,,58.78149235910244,60.37173579109062,33.69047619047619,51.30952380952381,87.94179124900577,10855.2199171,40.8808825,94900,94.9,124.76400000000004,79.96799999999999,93.00200000000001,96.798,0.3146891464699688,0.1573445732349844,2.0,2.0,2.7350000000000008,81.6,2026-05-21,2026-05-21T00:00:00,Memo required before trade,1779352385020,16.27,4.72,29.16,7.62,5.31,0.09660272706262996,0.11570928072609288,0.08955223880597019,0.34857710353561244,2026-Q1
DXS,CTCP Dịch vụ Bất động sản Đất Xanh,HOSE,Bất động sản,non_financial,Quality/Value Non-financial,AVOID,PASS,REAL_ESTATE_NEEDS_BACKLOG_CORE_REVIEW; LOW_ROE_NEEDS_TURNAROUND_MEMO,58.50590209115839,30.397849462365592,56.488095238095234,68.15476190476191,86.53428424789007,4679.15324192,31.2485494,8080,8.08,10.520000000000001,6.859999999999999,7.9184,8.2416,0.301980198019802,0.150990099009901,2.0,2.0,0.3609999999999999,7.0,2026-05-21,2026-05-21T00:00:00,Memo required before trade,1779350701318,14.08,0.6,5.97,2.3,3.24,0.036761403733880815,0.11423685807270134,0.10533515731874155,0.46573192629584054,2026-Q1
PAN,CTCP Tập đoàn PAN,HOSE,Thực phẩm - Đồ uống,non_financial,Quality/Value Non-financial,AVOID,PASS,,57.789632025853216,52.095238095238095,88.57142857142858,37.38095238095238,50.168051912936676,6964.685476,38.79054425,32200,32.2,38.64,28.980000000000004,31.556,32.844,0.19999999999999996,0.09999999999999998,2.0,2.0,0.9250000000000005,31.15,2026-05-21,2026-05-21T00:00:00,Memo required before trade,1779350701875,8.47,0.63,12.92,3.36,16.52,-0.001008299077018493,0.01860053144375562,-0.003095975232197956,0.24944796402418276,2026-Q1
TPB,Ngân hàng TMCP Tiên Phong,HOSE,Ngân hàng,bank,Core Bank,AVOID,PASS,,57.63485700529449,60.250424448217316,76.57894736842107,76.8421052631579,20.18628710436981,43275.1312188,126.98562325,15600,15.6,18.408,14.196,15.288,15.911999999999999,0.18000000000000016,0.08999999999999997,2.0000000000000027,2.0,0.28250000000000003,15.15,2026-05-21,2026-05-21T00:00:00,Memo required before trade,1779352346905,6.16,1.03,18.45,1.66,49.12,-0.022556390977443552,-0.027673896783844465,-0.04878048780487798,0.1266500536206021,2026-Q1
